request_type,issue,department_data_311,department_categories,requests,category_categories,category,department
construction site maintenance,construction site maintenance,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",421,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
couch on porch,couch on porch,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",259,Neighborhood Issues,Neighborhood Issues,"Permits, Licenses and Inspections"
county maintenance,NA,,,101,,Unknown,Unknown
"court, basketball or tennis","court, basketball or tennis",DPW - Park Maintenance,DPW - Park Maintenance,181,City Facilities and Infrastructure,City Facilities and Infrastructure,DPW - Park Maintenance
"court, basketball or tennis","court, basketball or tennis",DPW - Park Maintenance,DPW - Park Maintenance,181,Parks Issues,Parks Issues,DPW - Park Maintenance
crossing guards,crossing guards,School Guards,School Guards,178,Public Safety,Public Safety,School Guards
curb /angle iron/metal exposed,curb /angle iron/metal exposed,DPW - Street Maintenance,DPW - Street Maintenance,373,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
curb /broken/deteriorated,curb /broken/deteriorated,DOMI - Permits,DPW - Permits,565,Road/Street Issues,Road/Street Issues,DPW - Permits
curb cuts,curb cuts,DOMI - Permits,DPW - Permits,69,Road/Street Issues,Road/Street Issues,DPW - Permits
curb paint,curb paint,DOMI - Traffic,DPW - Traffic,292,Road/Street Issues,Road/Street Issues,DPW - Traffic
curb paint application,NA,311,,36,,Road/Street Issues,311
curb/request for asphalt windrow,curb/request for asphalt windrow,DPW - Street Maintenance,DPW - Street Maintenance,1093,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
dead animal,dead animal,Animal Care & Control,Animal Care & Control,2211,Animal Issues,Animal Issues,Animal Care & Control
dead tree (3tb),NA,DPW - Construction Division,,329,,Tree Issues,DPW - Construction Division
dead tree (public property),dead tree (public property),DPW - Forestry Division,DPW - Forestry Division,1177,Tree Issues,Tree Issues,DPW - Forestry Division
demolition,demolition,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",220,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
discrimination/unfair practices,NA,,,34,,Unknown,Unknown
do not use (vacant and open building),NA,311,,206,,Neighborhood Issues,311
dog license,dog license,Finance,Finance,23,Animal Issues,Animal Issues,Finance
drainage/leak,drainage/leak,DPW - Street Maintenance,DPW - Street Maintenance,1279,Road/Street Issues,Road/Street Issues,DPW - Street Maintenance
drug enforcement,drug enforcement,Police - Zones 1-6,Police - Zones 1-6,1410,Public Safety,Public Safety,Police - Zones 1-6
dumping (private property),dumping (private property),,"Permits, Licenses and Inspections",NA,Weeds/Debris,Weeds/Debris,"Permits, Licenses and Inspections"
dumping (private property)/do not use,NA,"Permits, Licenses and Inspections",,38,,Neighborhood Issues,"Permits, Licenses and Inspections"
"dumping, private property","dumping, private property","Permits, Licenses and Inspections","Permits, Licenses and Inspections",523,Neighborhood Issues,Neighborhood Issues,"Permits, Licenses and Inspections"
dumpster,dumpster,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",122,Building Maintenance,Building Maintenance,"Permits, Licenses and Inspections"
dumpster,dumpster,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",122,Construction Issues,Construction Issues,"Permits, Licenses and Inspections"
dumpster (on street),dumpster (on street),DOMI - Permits,DPW - Permits,722,Permits,Permits,DPW - Permits
early set out,early set out,DPW - Refuse,DPW - Refuse,1513,Garbage and Litter Issues,Garbage and Litter Issues,DPW - Refuse
early trash set out,NA,DPW - Refuse,,61,,Garbage and Litter Issues,DPW - Refuse
earned income tax,earned income tax,Finance,Finance,7,Business Issues,Business Issues,Finance
earned income tax,earned income tax,Finance,Finance,7,Taxes,Taxes,Finance
econoffice of municipal investigationsc development,econoffice of municipal investigationsc development,,Mayor's Office - Community Affairs,NA,Ask Us/General FAQs,Ask Us/General FAQs,Mayor's Office - Community Affairs
economic development,NA,Mayor's Office - Community Affairs,,10,,Ask Us/General FAQs,Mayor's Office - Community Affairs
electrical violation,electrical violation,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",195,Building Maintenance,Building Maintenance,"Permits, Licenses and Inspections"
emergency medical services procedures,emergency medical services procedures,,Emergency Medical Services,NA,Public Safety,Public Safety,Emergency Medical Services
employment/hiring,employment/hiring,PCSC,Human Resources and Civil Service Commission,5,Personnel (City),Personnel (City),Human Resources and Civil Service Commission
ems billing,NA,,,2,,Public Safety,Unknown
ems procedures,NA,EMS - Administration,,21,,Public Safety,EMS - Administration
emt,emt,Finance,Finance,1,Taxes,Taxes,Finance
environmental services - do not use/test,NA,,,39,,Unknown,Unknown
excessive noise/disturbances,excessive noise/disturbances,Police - Zones 1-6,Police - Zones 1-6,1487,Neighborhood Issues,Neighborhood Issues,Police - Zones 1-6
fence,fence,DPW - Construction Division,DPW - Construction Division,134,City Facilities and Infrastructure,City Facilities and Infrastructure,DPW - Construction Division
fence maintenance,fence maintenance,"Permits, Licenses and Inspections","Permits, Licenses and Inspections",211,Building Maintenance,Building Maintenance,"Permits, Licenses and Inspections"
field,field,DOMI - Permits,DPW - Park Maintenance,22,Parks Issues,Parks Issues,DPW - Park Maintenance
field,field,DOMI - Permits,DPW - Permits,22,Permits,Permits,DPW - Permits
field,field,DPW - Park Maintenance,DPW - Park Maintenance,479,Parks Issues,Parks Issues,DPW - Park Maintenance
field,field,DPW - Park Maintenance,DPW - Permits,479,Permits,Permits,DPW - Permits
finance department,finance department,Finance,Finance,32,Ask Us/General FAQs,Ask Us/General FAQs,Finance
fire department,fire department,Fire Bureau,Fire Bureau,45,Ask Us/General FAQs,Ask Us/General FAQs,Fire Bureau
fire lane,fire lane,Fire Bureau,Fire Bureau,41,Public Safety,Public Safety,Fire Bureau
fire prevention,fire prevention,Fire Bureau,Fire Bureau,98,Public Safety,Public Safety,Fire Bureau
fire safety system issue,NA,,,152,,Building Maintenance,Unknown
fire safety system not working,NA,"Permits, Licenses and Inspections",,1675,,Building Maintenance,"Permits, Licenses and Inspections"
fire safety sytem not working,fire safety sytem not working,,"Permits, Licenses and Inspections",NA,Building Maintenance,Building Maintenance,"Permits, Licenses and Inspections"
food safety complaints,NA,ACHD - Food Safety,,4,,Unknown,ACHD - Food Safety
gang activity,gang activity,Police - Zones 1-6,Police - Zones 1-6,76,Public Safety,Public Safety,Police - Zones 1-6
graffiti,NA,Police - Zones 1-6,,62,,Graffiti Issues,Police - Zones 1-6
